SKU,NOMBRE,@IMAGEN,Publico,Mayoreo,Distribuidor,Caja,PZAS,Categoría,Descuento
HZJ-4215,Espejo con Luz LED ,hzj-4215.jpg,$117.00,$100.00,$95.00,$85.00,36.00,Salud y Belleza,0%
HZJ-919,Estante De Cosmetico Organizador,hzj-919.jpg,$90.00,$72.00,$68.00,$65.00,60,Salud y Belleza,0%
ZFQ-4105,Plancha para Cabello,zfq-4105.jpg,$105.00,$85.00,$80.00,$75.00,50,Salud y Belleza,0%
MR-123,Rasuradora Electrica 3 en 1,mr-123.jpg,$164.00,$120.00,$106.00,$100.00,80,Salud y Belleza,0%
HZJ-922,Espejo y Alhajero en Forma de Corazón con Luz LED de Atenuación Táctil,hzj-922.jpg,$119.00,$87.00,$77.00,$73.00,60,Salud y Belleza,0%
HZJ-928,Espejo con Luz LED y Aumento 10x,hzj-928.jpg,$126.00,$92.00,$82.00,$77.00,48,Salud y Belleza,0%
MR-100,Depilador Eléctrico para Vello Nasal 360°,mr-100.jpg,$46.00,$34.00,$30.00,$28.00,200,Salud y Belleza,0%
MR-106P,Máquina Cortadora de Cabello de Plástico con Diseño de Buda,mr-106p.jpg,$55.00,$40.00,$36.00,$34.00,100,Salud y Belleza,0%
MR-107P,Máquina Cortadora de Cabello de Plástico con Diseño de Dragón,mr-107p.jpg,$55.00,$40.00,$36.00,$34.00,100,Salud y Belleza,0%
MR-109,Máquina Cortadora de Cabello de Metal con Diseño de Dragón ,mr-109.jpg,$62.00,$46.00,$40.00,$38.00,100,Salud y Belleza,0%
MR-108,Máquina Cortadora de Cabello de Metal con Diseño de Buda,mr-108.jpg,$62.00,$46.00,$40.00,$38.00,100,Salud y Belleza,0%
MR-111,Máquina Cortadora de Cabello de Plástico con Diseño de Dragón Tornasol,mr-111.jpg,$55.00,$40.00,$36.00,$34.00,100,Salud y Belleza,0%
MR-112,Rasuradora Grabado Buda Multicolores,mr-112.jpg,$55.00,$40.00,$36.00,$34.00,100,Salud y Belleza,0%
MR-125,Máquina Para Cortar Cabello Calavera,mr-125.jpg,$110.00,$80.00,$71.00,$67.00,100,Salud y Belleza,0%
MR-126,Máquina Rasuradora Eléctrica con Pantalla LCD Recargable,mr-126.jpg,$155.00,$114.00,$100.00,$95.00,60,Salud y Belleza,0%
MR-127,Rasuradora Eléctrica con Pantalla LCD Recargable,mr-127.jpg,$180.00,$132.00,$117.00,$110.00,60,Salud y Belleza,0%
MR-129,Máquina Para Cortar Cabello con Pantalla LED,mr-129.jpg,$164.00,$120.00,$106.00,$100.00,60,Salud y Belleza,0%
MR-130P,Máquina Para Cortar Cabello,mr-130p.jpg,$100.00,$74.00,$65.00,$62.00,100,Salud y Belleza,0%
MR-132,Rasuradora y Depiladora Eléctrica de Doble Cabezal,mr-132.jpg,$182.00,$134.00,$118.00,$112.00,50,Salud y Belleza,0%
MR-137P,Rasuradora Eléctrica con 4 Peines ,mr-137p.jpg,$155.00,$114.00,$100.00,$95.00,60,Salud y Belleza,0%
